 	LSOA.Code	LSOA.Name	LA.Code	LA.Name	Region	Estimated.number.of.households	Estimated.number.of.Fuel.Poor.Households	Proportion.of.households.fuel.poor....	
8207	E01008425	Newcastle upon Tyne 030B	E08000021	Newcastle upon Tyne	North East	14	232	22.9	1013.1004366812
8303	E01008524	North Tyneside 022B	E08000022	North Tyneside	North East	103	183	16.6	1102.4096385542
8375	E01008597	South Tyneside 001C	E08000023	South Tyneside	North East	25	224	21.9	1022.8310502283
8479	E01008703	Sunderland 013B	E08000024	Sunderland	North East	72	240	22.4	1071.4285714286
8510	E01008735	Sunderland 016B	E08000024	Sunderland	North East	15	243	24	1012.5
8599	E01008831	Sunderland 013D	E08000024	Sunderland	North East	109	359	32.4	1108.024691358
8734	E01008974	Birmingham 118C	E08000025	Birmingham	West Midlands	122	164	14.6	1123.2876712329
8939	E01009203	Birmingham 043C	E08000025	Birmingham	West Midlands	125	232	20.6	1126.213592233
9105	E01009378	Birmingham 135A	E08000025	Birmingham	West Midlands	35	122	11.8	1033.8983050848
9264	E01009548	Coventry 031A	E08000026	Coventry	West Midlands	14	191	18.9	1010.582010582
9339	E01009629	Coventry 020A	E08000026	Coventry	West Midlands	56	218	20.7	1053.1400966184
9446	E01009741	Dudley 022A	E08000027	Dudley	West Midlands	152	229	19.8	1156.5656565657
9584	E01009881	Dudley 011C	E08000027	Dudley	West Midlands	109	162	14.6	1109.5890410959
9939	E01010241	Walsall 015A	E08000030	Walsall	West Midlands	16	159	15.7	1012.7388535032
10062	E01010368	Walsall 030A	E08000030	Walsall	West Midlands	4	216	21.5	1004.6511627907
10100	E01010406	Walsall 027C	E08000030	Walsall	West Midlands	69	203	19	1068.4210526316
10167	E01010473	Wolverhampton 015C	E08000031	Wolverhampton	West Midlands	169	326	27.7	1176.8953068592
10215	E01010521	Wolverhampton 020F	E08000031	Wolverhampton	West Midlands	46	286	27.4	1043.795620438
10274	E01010580	Bradford 010B	E08000032	Bradford	Yorkshire and The Humber	23	123	12	1025
10279	E01010585	Bradford 015E	E08000032	Bradford	Yorkshire and The Humber	7	171	17	1005.8823529412
10401	E01010709	Bradford 006D	E08000032	Bradford	Yorkshire and The Humber	78	178	16.5	1078.7878787879
10456	E01010765	Bradford 010D	E08000032	Bradford	Yorkshire and The Humber	88	149	13.7	1087.5912408759
10680	E01010994	Calderdale 008E	E08000033	Calderdale	Yorkshire and The Humber	64	261	24.5	1065.306122449
10906	E01011222	Kirklees 050D	E08000034	Kirklees	Yorkshire and The Humber	25	252	24.6	1024.3902439024
11040	E01011361	Leeds 042E	E08000035	Leeds	Yorkshire and The Humber	114	264	23.7	1113.9240506329
11166	E01011499	Leeds 105C	E08000035	Leeds	Yorkshire and The Humber	77	144	13.4	1074.6268656717
11205	E01011541	Leeds 104B	E08000035	Leeds	Yorkshire and The Humber	32	159	15.4	1032.4675324675
11352	E01011704	Leeds 002C	E08000035	Leeds	Yorkshire and The Humber	9	141	14	1007.1428571429
11382	E01011734	Leeds 083A	E08000035	Leeds	Yorkshire and The Humber	38	131	12.6	1039.6825396825
11460	E01011812	Wakefield 013B	E08000036	Wakefield	Yorkshire and The Humber	32	69	6.7	1029.8507462687
11486	E01011838	Wakefield 015C	E08000036	Wakefield	Yorkshire and The Humber	122	184	16.4	1121.9512195122
11564	E01011916	Wakefield 017D	E08000036	Wakefield	Yorkshire and The Humber	199	232	18.9	1227.5132275132
11738	E01012102	Redcar and Cleveland 001C	E06000003	Redcar and Cleveland	North East	20	285	28	1017.8571428572
11764	E01012138	Redcar and Cleveland 006A	E06000003	Redcar and Cleveland	North East	5	83	8.3	1000
11882	E01012264	Stockton-on-Tees 014C	E06000004	Stockton-on-Tees	North East	18	173	17	1017.6470588235
11883	E01012266	Stockton-on-Tees 014E	E06000004	Stockton-on-Tees	North East	128	273	24.2	1128.0991735537
11909	E01012292	Stockton-on-Tees 019C	E06000004	Stockton-on-Tees	North East	38	173	16.7	1035.9281437126
11931	E01012316	Darlington 010B	E06000005	Darlington	North East	143	189	16.5	1145.4545454546
11934	E01012319	Darlington 013C	E06000005	Darlington	North East	95	168	15.3	1098.0392156863
11952	E01012340	Darlington 012D	E06000005	Darlington	North East	34	193	18.7	1032.0855614973
11986	E01012374	Halton 002A	E06000006	Halton	North West	62	84	7.9	1063.2911392405
12040	E01012428	Halton 012C	E06000006	Halton	North West	15	149	14.7	1013.6054421769
12043	E01012431	Halton 012F	E06000006	Halton	North West	3	195	19.5	1000
12053	E01012441	Halton 007D	E06000006	Halton	North West	66	163	15.3	1065.3594771242
12069	E01012458	Warrington 018B	E06000007	Warrington	North West	1	117	11.7	1000
12208	E01012598	Blackburn with Darwen 013C	E06000008	Blackburn with Darwen	North West	39	58	5.6	1035.7142857143
12312	E01012704	Blackpool 002C	E06000009	Blackpool	North West	68	141	13.2	1068.1818181818
12371	E01012763	Kingston upon Hull 018C	E06000010	Kingston upon Hull City of	Yorkshire and The Humber	15	270	26.6	1015.037593985
12457	E01012850	Kingston upon Hull 024A	E06000010	Kingston upon Hull City of	Yorkshire and The Humber	3	263	26.2	1003.8167938931
12458	E01012851	Kingston upon Hull 029A	E06000010	Kingston upon Hull City of	Yorkshire and The Humber	211	264	18.8	1404.2553191489
12460	E01012854	Kingston upon Hull 029C	E06000010	Kingston upon Hull City of	Yorkshire and The Humber	206	226	17.9	1262.5698324022
12494	E01012891	Kingston upon Hull 030C	E06000010	Kingston upon Hull City of	Yorkshire and The Humber	93	251	23	1091.3043478261
12529	E01012926	East Riding of Yorkshire 014B	E06000011	East Riding of Yorkshire	Yorkshire and The Humber	79	146	13.5	1081.4814814815
12540	E01012937	East Riding of Yorkshire 002D	E06000011	East Riding of Yorkshire	Yorkshire and The Humber	69	255	23.9	1066.9456066946
12541	E01012938	East Riding of Yorkshire 001C	E06000011	East Riding of Yorkshire	Yorkshire and The Humber	119	134	12	1116.6666666667
12579	E01012977	East Riding of Yorkshire 044B	E06000011	East Riding of Yorkshire	Yorkshire and The Humber	43	115	11	1045.4545454546
12725	E01013124	East Riding of Yorkshire 015D	E06000011	East Riding of Yorkshire	Yorkshire and The Humber	8	105	10.4	1009.6153846154
12738	E01013137	North East Lincolnshire 002B	E06000012	North East Lincolnshire	Yorkshire and The Humber	8	187	18.6	1005.376344086
12791	E01013190	North East Lincolnshire 021B	E06000012	North East Lincolnshire	Yorkshire and The Humber	97	110	10	1100
12838	E01013240	North Lincolnshire 015B	E06000013	North Lincolnshire	Yorkshire and The Humber	12	147	14.5	1013.7931034483
12854	E01013256	North Lincolnshire 001C	E06000013	North Lincolnshire	Yorkshire and The Humber	48	144	13.8	1043.4782608696
12966	E01013369	York 013C	E06000014	York	Yorkshire and The Humber	4	183	18.2	1005.4945054945
12980	E01013383	York 010D	E06000014	York	Yorkshire and The Humber	52	200	19	1052.6315789474
12988	E01013391	York 017B	E06000014	York	Yorkshire and The Humber	74	149	13.9	1071.9424460432
13049	E01013453	Derby 013A	E06000015	Derby	East Midlands	142	277	24.2	1144.6280991736
13052	E01013456	Derby 013C	E06000015	Derby	East Midlands	68	246	23	1069.5652173913
13074	E01013479	Derby 013F	E06000015	Derby	East Midlands	157	301	25.9	1162.1621621622
13075	E01013480	Derby 016A	E06000015	Derby	East Midlands	101	341	31	1100
13118	E01013525	Derby 008D	E06000015	Derby	East Midlands	81	168	15.5	1083.8709677419
13122	E01013529	Derby 005D	E06000015	Derby	East Midlands	55	198	18.8	1053.1914893617
13200	E01013607	Leicester 008B	E06000016	Leicester	East Midlands	156	186	16	1162.5
13237	E01013646	Leicester 040A	E06000016	Leicester	East Midlands	118	505	45.1	1119.733924612
13274	E01013683	Leicester 016C	E06000016	Leicester	East Midlands	2	271	27.1	1000
13375	E01013788	Rutland 001A	E06000017	Rutland	East Midlands	37	152	14.7	1034.0136054422
13390	E01013803	Rutland 003D	E06000017	Rutland	East Midlands	4	132	13.2	1000
13427	E01013840	Nottingham 012D	E06000018	Nottingham	East Midlands	1	146	14.6	1000
13454	E01013870	Nottingham 040A	E06000018	Nottingham	East Midlands	45	141	13.5	1044.4444444445
13504	E01013920	Nottingham 029C	E06000018	Nottingham	East Midlands	203	307	24.8	1237.9032258065
13516	E01013936	Nottingham 016A	E06000018	Nottingham	East Midlands	77	118	11	1072.7272727273
13649	E01014076	Herefordshire 013B	E06000019	Herefordshire County of	West Midlands	13	171	16.9	1011.8343195266
13714	E01014141	Telford and Wrekin 009C	E06000020	Telford and Wrekin	West Midlands	63	136	12.8	1062.5
13838	E01014267	Stoke-on-Trent 007E	E06000021	Stoke-on-Trent	West Midlands	37	137	13.2	1037.8787878788
13941	E01014370	Bath and North East Somerset 0	E06000022	Bath and North East Somerset	South West	76	250	23.2	1077.5862068966
13942	E01014371	Bath and North East Somerset 0	E06000022	Bath and North East Somerset	South West	115	264	23.7	1113.9240506329
13943	E01014372	Bath and North East Somerset 0	E06000022	Bath and North East Somerset	South West	180	274	22.8	1201.7543859649
14054	E01014486	Bristol 023B	E06000023	Bristol City of	South West	112	224	20.1	1114.4278606965
14057	E01014489	Bristol 023D	E06000023	Bristol City of	South West	166	298	25.4	1173.2283464567
14132	E01014568	Bristol 057A	E06000023	Bristol City of	South West	32	236	22.9	1030.5676855895
14138	E01014574	Bristol 057D	E06000023	Bristol City of	South West	18	197	19.4	1015.4639175258
14212	E01014653	Bristol 055B	E06000023	Bristol City of	South West	82	259	23.9	1083.6820083682
14214	E01014655	Bristol 055C	E06000023	Bristol City of	South West	95	253	23.1	1095.2380952381
14238	E01014681	Bristol 029D	E06000023	Bristol City of	South West	89	175	16.1	1086.9565217391
14389	E01014841	North Somerset 018A	E06000024	North Somerset	South West	11	195	19.3	1010.3626943005
14399	E01014851	North Somerset 006D	E06000024	North Somerset	South West	112	131	11.8	1110.1694915254
14410	E01014862	South Gloucestershire 005B	E06000025	South Gloucestershire	South West	101	178	16.2	1098.7654320988
