"LSOA.Code"	"LSOA.Name"	"LA.Code"	"LA.Name"	"Region"	"Estimated.number.of.households"	"Estimated.number.of.Fuel.Poor.Households"	"Proportion.of.households.fuel.poor...."
"13049"	"E01013453"	"Derby 013A"	"E06000015"	"Derby"	"East Midlands"	142	237	20.7
"13052"	"E01013456"	"Derby 013C"	"E06000015"	"Derby"	"East Midlands"	68	211	19.8
"13074"	"E01013479"	"Derby 013F"	"E06000015"	"Derby"	"East Midlands"	157	225	19.4
"13075"	"E01013480"	"Derby 016A"	"E06000015"	"Derby"	"East Midlands"	101	320	29.1
"13118"	"E01013525"	"Derby 008D"	"E06000015"	"Derby"	"East Midlands"	81	133	12.3
"13122"	"E01013529"	"Derby 005D"	"E06000015"	"Derby"	"East Midlands"	55	194	18.4
"13237"	"E01013646"	"Leicester 040A"	"E06000016"	"Leicester"	"East Midlands"	118	444	39.7
"13274"	"E01013683"	"Leicester 016C"	"E06000016"	"Leicester"	"East Midlands"	2	260	26
"13375"	"E01013788"	"Rutland 001A"	"E06000017"	"Rutland"	"East Midlands"	37	134	12.9
"13390"	"E01013803"	"Rutland 003D"	"E06000017"	"Rutland"	"East Midlands"	4	91	9.1
"13427"	"E01013840"	"Nottingham 012D"	"E06000018"	"Nottingham"	"East Midlands"	1	132	13.2
"13454"	"E01013870"	"Nottingham 040A"	"E06000018"	"Nottingham"	"East Midlands"	45	105	10.1
"13504"	"E01013920"	"Nottingham 029C"	"E06000018"	"Nottingham"	"East Midlands"	202	207	16.7
"13516"	"E01013936"	"Nottingham 016A"	"E06000018"	"Nottingham"	"East Midlands"	77	89	8.3
"13649"	"E01014076"	"Herefordshire 013B"	"E06000019"	"Herefordshire County of"	"West Midlands"	13	150	14.8
"13714"	"E01014141"	"Telford and Wrekin 009C"	"E06000020"	"Telford and Wrekin"	"West Midlands"	63	139	13.1
"13838"	"E01014267"	"Stoke-on-Trent 007E"	"E06000021"	"Stoke-on-Trent"	"West Midlands"	37	100	9.7
"13941"	"E01014370"	"Bath and North East Somerset 0"	"E06000022"	"Bath and North East Somerset"	"South West"	76	136	12.6
