"LSOA.Code"	"LSOA.Name"	"LA.Code"	"LA.Name"	"Region"	"Estimated.number.of.households"	"Estimated.number.of.Fuel.Poor.Households"	"Proportion.of.households.fuel.poor...."
"31202"	"E01032004"	"Wiltshire 054B"	"E06000054"	"Wiltshire"	"South West"	36	113	10.9
"31209"	"E01032011"	"Wiltshire 057B"	"E06000054"	"Wiltshire"	"South West"	55	65	6.2
"31291"	"E01032094"	"Wiltshire 035C"	"E06000054"	"Wiltshire"	"South West"	42	109	10.5
"31314"	"E01032117"	"Wiltshire 040C"	"E06000054"	"Wiltshire"	"South West"	47	58	5.5
"31326"	"E01032130"	"Bromsgrove 013A"	"E07000234"	"Bromsgrove"	"West Midlands"	122	128	11.4
"31353"	"E01032157"	"Bromsgrove 011B"	"E07000234"	"Bromsgrove"	"West Midlands"	13	89	8.8
"31485"	"E01032295"	"Worcester 013C"	"E07000237"	"Worcester"	"West Midlands"	133	182	16
"31533"	"E01032343"	"Wychavon 014A"	"E07000238"	"Wychavon"	"West Midlands"	112	178	16
"31549"	"E01032359"	"Wychavon 003A"	"E07000238"	"Wychavon"	"West Midlands"	15	85	8.4
"31640"	"E01032450"	"Wyre Forest 004D"	"E07000239"	"Wyre Forest"	"West Midlands"	78	167	15.5
"31682"	"E01032492"	"Leeds 102I"	"E08000035"	"Leeds"	"Yorkshire and The Humber"	22	144	14.1
"31710"	"E01032520"	"Nottingham 028E"	"E06000018"	"Nottingham"	"East Midlands"	76	131	12.2
"31711"	"E01032522"	"Nottingham 028F"	"E06000018"	"Nottingham"	"East Midlands"	19	202	19.8
"31720"	"E01032531"	"Coventry 036E"	"E08000026"	"Coventry"	"West Midlands"	123	198	17.6
"31828"	"E01032642"	"West Dorset 001H"	"E07000052"	"West Dorset"	"South West"	54	81	7.7
"31869"	"E01032683"	"West Lindsey 001G"	"E07000142"	"West Lindsey"	"East Midlands"	21	117	11.5
"31885"	"E01032699"	"Wiltshire 007I"	"E06000054"	"Wiltshire"	"South West"	29	72	7
"31999"	"E01032830"	"Tonbridge and Malling 002G"	"E07000115"	"Tonbridge and Malling"	"South East"	10	79	7.8
"32067"	"E01032903"	"Wirral 010F"	"E08000015"	"Wirral"	"North West"	68	183	17.1
"32081"	"E01032922"	"Oldham 020E"	"E08000004"	"Oldham"	"North West"	60	93	8.8
"32163"	"E01033006"	"Leeds 063E"	"E08000035"	"Leeds"	"Yorkshire and The Humber"	44	311	29.8
"32202"	"E01033051"	"Tendring 002F"	"E07000076"	"Tendring"	"East of England"	84	100	9.2
"32223"	"E01033072"	"Lancaster 016I"	"E07000121"	"Lancaster"	"North West"	59	84	7.9
"32354"	"E01033216"	"Stoke-on-Trent 016G"	"E06000021"	"Stoke-on-Trent"	"West Midlands"	153	193	16.7
"32367"	"E01033233"	"Exeter 001F"	"E07000041"	"Exeter"	"South West"	10	98	9.7
"32411"	"E01033279"	"Sheffield 076F"	"E08000019"	"Sheffield"	"Yorkshire and The Humber"	39	112	10.8
"32413"	"E01033281"	"Rossendale 004G"	"E07000125"	"Rossendale"	"North West"	101	143	13
"32419"	"E01033289"	"Cornwall 007E"	"E06000052"	"Cornwall"	"South West"	36	129	12.5
